"Name","Acronym","","","","","","","","","","","","","",""
"Al-Madinah International University","MEDIU","","","","","","","","","","","","","",""
"Asia e University","AeU","","","","","","","","","","","","","",""
"Asia Metropolitan University","AMU","","","","","","","","","","","","","",""
"Asia Pacific University of Technology & Innovation","APU","","","","","","","","","","","","","",""
"Binary University","Binary","","","","","","","","","","","","","",""
"City University, Malaysia","CityU","","","","","","","","","","","","","",""
"Curtin University, Malaysia","Curtin","","","","","","","","","","","","","",""
"DRB-HICOM University of Automotive Malaysia","DRB-HICOM U","","","","","","","","","","","","","",""
"GlobalNxt University","GNU","","","","","","","","","","","","","",""
"Gugusan University","Gugusan","","","","","","","","","","","","","",""
"HELP University","HELP","","","","","","","","","","","","","",""
"Heriot-Watt University Malaysia","HWUM","","","","","","","","","","","","","",""
"Infrastructure University Kuala Lumpur","IUKL","","","","","","","","","","","","","",""
"International Medical University","IMU","","","","","","","","","","","","","",""
"INTI International University","INTI","","","","","","","","","","","","","",""
"Limkokwing University of Creative Technology","Limkokwing","","","","","","","","","","","","","",""
"MAHSA University","MAHSA","","","","","","","","","","","","","",""
"Malaysia University of Science and Technology","MUST","","","","","","","","","","","","","",""
"Management & Science University","MSU","","","","","","","","","","","","","",""
"Manipal International University","MIU","","","","","","","","","","","","","",""
"Monash University Malaysia Campus","Monash","","","","","","","","","","","","","",""
"Multimedia University","MMU","","","","","","","","","","","","","",""
"Newcastle University Medicine Malaysia","NUMed","","","","","","","","","","","","","",""
"Nilai University","Nilai U","","","","","","","","","","","","","",""
"Open University Malaysia","OUM","","","","","","","","","","","","","",""
"Perdana University","PU","","","","","","","","","","","","","",""
"Quest International University Perak","QIUP","","","","","","","","","","","","","",""
"Raffles University Iskandar","RUI","","","","","","","","","","","","","",""
"Royal College of Surgeons in Ireland and University College Dublin Malaysia Campus","RUMC","","","","","","","","","","","","","",""
"SEGi University","SEGi","","","","","","","","","","","","","",""
"Sunway University","Sun-U","","","","","","","","","","","","","",""
"Swinburne University of Technology Sarawak Campus","Swinburne","","","","","","","","","","","","","",""
"Taylor's University","Taylor's","","","","","","","","","","","","","",""
"Tun Abdul Razak University","UNIRAZAK","","","","","","","","","","","","","",""
"Tunku International University","UniTunku","","","","","","","","","","","","","",""
"UCSI University","UCSI","","","","","","","","","","","","","",""
"UNITAR International University","UNITAR","","","","","","","","","","","","","",""
"Islamic University of Malaysia","UIM","","","","","","","","","","","","","",""
"University of Kuala Lumpur","UniKL","","","","","","","","","","","","","",""
"University of Selangor","UNISEL","","","","","","","","","","","","","",""
"Sultan Abdul Halim Mu'adzam Shah International Islamic University","UniSHAMS","","","","","","","","","","","","","",""
"Sultan Azlan Shah University","USAS","","","","","","","","","","","","","",""
"Petronas University of Technology","UTP","","","","","","","","","","","","","",""
"National Energy University","UNITEN","","","","","","","","","","","","","",""
"University Tunku Abdul Rahman","UTAR","","","","","","","","","","","","","",""
"University Malaysia of Computer Science & Engineering","UniMy","","","","","","","","","","","","","",""
"University of Nottingham Malaysia Campus","UNMC","","","","","","","","","","","","","",""
"University of Southampton Malaysia Campus","USMC","","","","","","","","","","","","","",""
"Wawasan Open University","WOU","","","","","","","","","","","","","",""
"Xiamen University Malaysia Campus","XMUMC","","","","","","","","","","","","","",""
"Berjaya University College of Hospitality","BERJAYA UCH","","","","","","","","","","","","","",""
"Cyberjaya University College of Medical Sciences","CUCMS","","","","","","","","","","","","","",""
"First City University College","First City UC","","","","","","","","","","","","","",""
"Han Chiang University College of Communication","HCUCC","","","","","","","","","","","","","",""
"International University College Of Arts and Science","IUCAS","","","","","","","","","","","","","",""
"KDU University College","KDU","","","","","","","","","","","","","",""
"International Islamic University College Selangor","KUIS","","","","","","","","","","","","","",""
"University College of Islam Melaka","KUIM","","","","","","","","","","","","","",""
"Kuala Lumpur Metropolitan University College","KLMUC","","","","","","","","","","","","","",""
"Lincoln University College","LUC","","","","","","","","","","","","","",""
"Linton University College","LINTON","","","","","","","","","","","","","",""
"Mersing Malay University College","MMUC","","","","","","","","","","","","","",""
"New Era University College","NEUC","","","","","","","","","","","","","",""
"Southern University College","Southern UC","","","","","","","","","","","","","",""
"Tunku Abdul Rahman University College","TAR UC","","","","","","","","","","","","","",""
"Twintech International University College of Technology","Twintech","","","","","","","","","","","","","",""
"University College of Technology Sarawak","UCTS","","","","","","","","","","","","","",""
"Widad University College","Widad UC","","","","","","","","","","","","","",""
"University College Sabah Foundation","UCSF","","","","","","","","","","","","","",""
"Unofficial Name in English","Acronym","","","","","","","","","","","","","",""
"University of Malaya","UM","","","","","","","","","","","","","",""
"International Islamic University Malaysia","IIUM","","","","","","","","","","","","","",""
"National University of Malaysia","UKM","","","","","","","","","","","","","",""
"University of Malaysia Kelantan","UMK","","","","","","","","","","","","","",""
"University of Malaysia Pahang","UMP","","","","","","","","","","","","","",""
"University of Malaysia Perlis","UniMAP","","","","","","","","","","","","","",""
"University of Malaysia Sabah","UMS","","","","","","","","","","","","","",""
"University of Malaysia Sarawak","UNIMAS","","","","","","","","","","","","","",""
"University of Malaysia, Terengganu","UMT","","","","","","","","","","","","","",""
"Sultan Idris Education University","UPSI","","","","","","","","","","","","","",""
